title,job_type,location
Freelance Data Entry Officer,Part Time,Lagos
Data Entry Assistant,Full Time,Rivers
Data Analyst,Full Time,Lagos
Fraud Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Manager Data Analytics,Full Time,Lagos
Data Entry Operator,Full Time,
Data Centre Migration Specialist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry (Business),Full Time,Lagos
Product Manager (Data & Platforms),Full Time,Lagos
Data Entry (Sport),Full Time,Lagos
"Senior Analyst, Applications & Data Security Mgt",Full Time,Lagos
Product Manager - Data and AI,Full Time,Lagos
Data Scientist,Full Time,Abuja
Data Centre Engineer (on Demand Model),Full Time,Lagos
Data Engineer Intern,Full Time,Ogun
Master Data Manager,Full Time,
Data Analyst,Full Time,
Data Manager,Full Time,
"Assistant/Associate Professor, Data Analytics",Full Time,
Analyst - Data Proposition Mass Market,Full Time,
Lead Data Center Operations Officer,Full Time,
Data Analyst,Full Time,
Data Analyst,Full Time,
Data Capturer (OMAO),Full Time,
HR Data Analyst,Full Time,
Lead Data Analyst,Full Time,Lagos
Store Inventory Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
Computer/Data Processing Teacher (Secondary School),Full Time,Abia
Data Entry Officer,Full Time,Lagos
Data Science Executive,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst- Transaction Switching & Payment Processing,Full Time,
Data Expert M/F,Full Time,Rivers
Fleet Accountant Data/Analyst,Full Time,Lagos
"Senior Architect - Information & Master Data, Information Technology",Full Time,Lagos
Data Management and Reporting Officer,Full Time,Yobe
Data Manager and Analyst,Full Time,Katsina
Data Manager,Full Time,Lagos
Data Entry Clerk,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time Remote,
Data Dashboard Developer,Full Time,
Data Analyst Scripting & VBA,Full Time,
Data Analyst,Full Time,
Data Analyst Officer,Full Time,Lagos
Data Engineer,Full Time Remote,Lagos
Data Analyst,Full Time,Lagos
Data & Analytics Lead (Africa),Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Nigeria and Ghana Cluster Data Protection Office (DPO),Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Officers,Full Time,
Cloud Data Engineer,Full Time,Lagos
Data Engineering Instructor/Trainer,Full Time Remote,Abia
Data Collector (Enumerator),Full Time,Nigeria
Data Analyst – Nigeria IHP,Full Time,Sokoto
Data Comms Engineer,Full Time,Rivers
Data Warehousing Instructor/Trainer,Full Time Remote,
Data Center Design Specialist,Full Time,Lagos
Data Entry Specialist,Full Time,Abuja
Data Intern - OTL,Full Time,Borno
Data Analytics Tutor,Full Time,
IT & Data Privacy Compliance Auditor,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Centre Engineer (Facility Supervisor),Full Time,Lagos
Data Expert M/F,Full Time,Rivers
Business Head Data Centre,Full Time,Lagos
Data Analyst,Full Time,Delta
Data Engineer (CRM Specialist),Full Time,Lagos
Conflict Data Analyst,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Center Facility/ BMS Engineer,Full Time,
Data Scientist,Full Time,Lagos
